date,open,high,low,close,volume,symbol
2024-03-01,1025.05,1040.0,1025.0,1029.55,194458.0,LICI.BSE
2024-02-29,1010.1,1027.55,997.75,1023.25,132600.0,LICI.BSE
2024-02-28,1049.85,1053.0,1003.45,1006.6,355687.0,LICI.BSE
2024-02-27,1042.65,1067.95,1037.0,1040.3,172769.0,LICI.BSE
2024-02-26,1065.25,1075.05,1038.0,1040.9,249146.0,LICI.BSE
2024-02-23,1062.0,1082.0,1048.45,1066.65,154696.0,LICI.BSE
2024-02-22,1041.0,1070.15,1031.8,1063.95,231809.0,LICI.BSE
2024-02-21,1042.8,1054.35,1027.3,1039.05,184544.0,LICI.BSE
2024-02-20,1055.15,1056.45,1036.0,1040.95,129354.0,LICI.BSE
2024-02-19,1081.4,1130.0,1050.0,1052.15,338560.0,LICI.BSE
2024-02-16,1062.5,1068.15,1030.75,1039.4,206267.0,LICI.BSE
2024-02-15,1083.95,1086.1,1046.3,1055.4,225820.0,LICI.BSE
2024-02-14,1001.25,1078.3,989.8,1070.0,394748.0,LICI.BSE
2024-02-13,1029.0,1044.0,979.85,1009.9,364669.0,LICI.BSE
2024-02-12,1149.95,1150.0,1010.7,1022.3,1113201.0,LICI.BSE
2024-02-09,1157.95,1175.0,1066.75,1080.85,1490790.0,LICI.BSE
2024-02-08,1074.95,1144.45,1070.7,1106.25,1431842.0,LICI.BSE
2024-02-07,1030.05,1050.5,1014.3,1045.0,259669.0,LICI.BSE
2024-02-06,1016.0,1032.45,990.5,1024.7,594705.0,LICI.BSE
2024-02-05,954.25,1027.95,954.25,1000.35,643943.0,LICI.BSE
2024-02-02,942.0,955.15,937.4,944.65,251392.0,LICI.BSE
2024-02-01,954.05,963.8,926.3,936.35,323863.0,LICI.BSE
2024-01-31,937.05,971.8,937.05,949.75,280606.0,LICI.BSE
2024-01-30,921.05,954.85,917.3,932.75,645442.0,LICI.BSE
2024-01-29,909.15,931.4,903.3,916.1,398545.0,LICI.BSE
2024-01-25,915.8,923.55,900.0,903.3,115149.0,LICI.BSE
2024-01-24,877.3,920.0,864.5,906.3,272718.0,LICI.BSE
2024-01-23,944.95,950.1,869.1,876.3,271513.0,LICI.BSE
2024-01-19,908.05,915.0,898.0,902.1,187144.0,LICI.BSE
2024-01-18,889.05,907.0,867.0,900.0,200058.0,LICI.BSE
2024-01-17,883.1,919.45,874.95,886.9,383415.0,LICI.BSE
2024-01-16,854.75,900.0,850.2,892.5,466979.0,LICI.BSE
2024-01-15,842.25,862.45,841.85,854.75,448382.0,LICI.BSE
2024-01-12,830.5,837.95,826.55,829.35,181538.0,LICI.BSE
2024-01-11,840.5,849.85,832.0,834.0,65428.0,LICI.BSE
2024-01-10,834.15,850.15,834.15,838.25,223582.0,LICI.BSE
2024-01-09,833.85,837.95,828.15,832.85,153014.0,LICI.BSE
2024-01-08,844.4,849.0,820.05,824.1,190030.0,LICI.BSE
2024-01-05,839.65,860.0,837.25,844.4,380465.0,LICI.BSE
2024-01-04,838.5,845.45,833.45,835.6,102689.0,LICI.BSE
2024-01-03,838.8,853.0,836.05,838.65,281122.0,LICI.BSE
2024-01-02,852.1,856.2,836.2,837.7,175519.0,LICI.BSE
2024-01-01,831.95,863.0,831.35,858.35,578347.0,LICI.BSE
2023-12-29,827.0,843.7,822.45,833.3,223107.0,LICI.BSE
2023-12-28,821.15,836.65,806.0,826.8,333458.0,LICI.BSE
2023-12-27,784.4,825.0,784.05,820.3,842413.0,LICI.BSE
2023-12-26,794.9,799.1,780.1,781.4,183753.0,LICI.BSE
2023-12-22,805.05,820.05,789.0,793.1,825549.0,LICI.BSE
2023-12-21,753.25,768.6,746.15,764.55,149495.0,LICI.BSE
2023-12-20,797.05,809.2,755.0,760.6,155548.0,LICI.BSE
2023-12-19,802.05,806.55,792.0,793.7,92704.0,LICI.BSE
2023-12-18,797.05,810.0,793.55,801.35,254670.0,LICI.BSE
2023-12-15,816.9,818.9,792.2,796.4,323865.0,LICI.BSE
2023-12-14,810.1,820.0,807.0,815.3,180398.0,LICI.BSE
2023-12-13,795.0,810.0,795.0,804.7,227001.0,LICI.BSE
2023-12-12,770.0,798.95,770.0,791.65,216445.0,LICI.BSE
2023-12-11,774.05,783.9,767.75,770.45,228233.0,LICI.BSE
2023-12-08,789.05,803.35,769.65,773.8,675356.0,LICI.BSE
2023-12-07,747.05,799.9,737.0,785.5,566130.0,LICI.BSE
2023-12-06,719.15,750.55,715.8,745.7,338600.0,LICI.BSE
2023-12-05,719.25,727.25,702.3,713.8,504511.0,LICI.BSE
2023-12-04,679.25,727.2,679.25,719.25,516275.0,LICI.BSE
2023-12-01,682.2,687.6,666.25,670.15,191196.0,LICI.BSE
